Season,Venue,Hours of Snowmaking,Gallons of Water Pumped,Acre-ft of Snow Produced
19-20,Belleayre Mountain,840,91753758,510
19-20,Whiteface Mountain,1267,287370000,1597
19-20,Gore Mountain,1418,245472000,1364
20-21,Belleayre Mountain,900,154343360,857
20-21,Whiteface Mountain,1798,287449380,1597
20-21,Gore Mountain,1611,312552937,1736
21-22,Belleayre Mountain,894,110895448,616
21-22,Whiteface Mountain,1914,341581981,1898
21-22,Gore Mountain,1436,306217962,1701
22-23,Belleayre Mountain,1158,192050086,1067
22-23,Whiteface Mountain,1635,396854194,2205
22-23,Gore Mountain,1504,334256466,1857
22-23,Mt. VanHoevenberg,402,10687772,59
